Approved.symbol	Previous.symbols	Alias.symbols	NCBI.Gene.ID	Ensembl.gene.ID
ABCA10	NA	EST698739	10349	ENSG00000154263
ABCA11P	ABCA11	EST1133530, FLJ14297	79963	ENSG00000251595
ABCA12	ICR2B	DKFZP434G232, LI2	26154	ENSG00000144452
ABCA13	NA	FLJ33876, FLJ33951	154664	ENSG00000179869
ABCA17P	NA	NA	650655	ENSG00000238098
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	ENSG00000085563
ABCB2~withdrawn	NA	NA	NA	NA
ABCB3~withdrawn	NA	NA	NA	NA
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	ENSG00000005471
ABCB5	NA	EST422562, ABCB5beta, ABCB5alpha	340273	ENSG00000004846
ABCB6	NA	EST45597, umat, MTABC3	10058	ENSG00000115657
ABCB7	ABC7	EST140535, Atm1p, ASAT	22	ENSG00000131269
ABCB8	NA	EST328128, M-ABC1, MABC1, MITOSUR	11194	ENSG00000197150
ABCB9	NA	EST122234	23457	ENSG00000150967
ABCB10	NA	EST20237, M-ABC2, MTABC2	23456	ENSG00000135776
ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476	ENSG00000274099
ABCB10P2~withdrawn	NA	NA	NA	NA
ABCB10P3	NA	NA	728248	ENSG00000261524
ABCB10P4	NA	NA	100132289	ENSG00000260053
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	ENSG00000073734
ABCC1	MRP, MRP1	GS-X	4363	ENSG00000103222
ABCC2	CMOAT	DJS, MRP2, cMRP	1244	ENSG00000023839
ABCC3	NA	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	ENSG00000108846
ABCC4	NA	MRP4, EST170205, MOAT-B, MOATB	10257	ENSG00000125257
ABCC5	NA	MRP5, SMRP, EST277145, MOAT-C	10057	ENSG00000114770
ABCC5-AS1	NA	NA	NA	ENSG00000223882
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368	ENSG00000091262
ABCC6P1	NA	NA	653190	ENSG00000256340
ABCC6P2	NA	NA	730013	ENSG00000255277
ABCC7~withdrawn	NA	NA	NA	NA
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	ENSG00000006071
ABCC9	NA	SUR2, CMD1O	10060	ENSG00000069431
ABCC10	NA	EST182763, MRP7, SIMRP7	89845	ENSG00000124574
ABCC11	NA	MRP8	85320	ENSG00000121270
ABCC12	NA	MRP9	94160	ENSG00000140798
ABCC13	NA	PRED6, C21orf73, ABCC13P	150000	ENSG00000243064
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	215	ENSG00000101986
ABCD1P1	NA	NA	23785	NA
ABCD1P2	NA	bA453N3.6	26983	ENSG00000215151
ABCD1P3	NA	NA	26982	ENSG00000261233
ABCD1P4	NA	NA	26957	ENSG00000225293
ABCD1P5	NA	NA	642762	ENSG00000214330
ABCD2	ALDL1	ALDR, ALDRP	225	ENSG00000173208
ABCD3	PXMP1	PMP70, ZWS2	5825	ENSG00000117528
ABCD4	PXMP1L	PMP69, P70R, EST352188	5826	ENSG00000119688
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	ENSG00000164163
ABCF1	ABC50	EST123147	23	ENSG00000204574
ABCF1-DT	NA	NA	107986587	NA
ABCF2	NA	EST133090, ABC28, M-ABC1, HUSSY-18	10061	ENSG00000033050
ABCF2-H2BE1	NA	NA	114483834	ENSG00000285292
ABCF2P1	NA	NA	344653	ENSG00000242159
ABCF2P2	NA	NA	100422059	ENSG00000228769
ABCF3	NA	EST201864	55324	ENSG00000161204
ABCG1	NA	ABC8	9619	ENSG00000160179
ABCG2	NA	EST157481, MXR, BCRP, ABCP, CD338	9429	ENSG00000118777
ABCG4	NA	WHITE2	64137	ENSG00000172350
ABCG5	NA	STSL	64240	ENSG00000138075
ABCG8	NA	GBD4	64241	ENSG00000143921
ABCR~withdrawn	NA	NA	NA	NA
ABHD1	NA	LABH1, FLJ36128	84696	ENSG00000143994
ABHD2	NA	LABH2	11057	ENSG00000140526
ABHD3	NA	LABH3	171586	ENSG00000158201
ABHD4	NA	FLJ12816	63874	ENSG00000100439
ABHD5	NA	CGI-58, NCIE2	51099	ENSG00000011198
ABHD6	NA	NA	57406	ENSG00000163686
ABHD8	NA	FLJ11743, MGC14280, MGC2512	79575	ENSG00000127220
ABHD10	NA	FLJ11342	55347	ENSG00000144827
ABHD11	WBSCR21	PP1226	83451	ENSG00000106077
ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	171022	ENSG00000225969
ABHD11-AS2	NA	NA	NA	NA
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	ENSG00000100997
ABHD12B	C14orf29	BEM46L3	145447	ENSG00000131969
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	ENSG00000139826
ABHD14A	NA	DKFZP564O243, DORZ1	25864	ENSG00000248487
ABHD14A-ACY1	NA	NA	100526760	ENSG00000114786
ABHD14B	NA	MGC15429, CIB	84836	ENSG00000114779
ABHD15	NA	NA	116236	ENSG00000168792
ABHD15-AS1	NA	linc-TP53I13, lnc-TP53I13	NA	ENSG00000264031
ABHD16A	BAT5	NG26, D6S82E	7920	ENSG00000204427
ABHD16B	C20orf135	dJ591C20.1	140701	ENSG00000183260
ABHD17A	C19orf27, FAM108A1	MGC5244	81926	ENSG00000129968
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	ENSG00000198658
ABHD17AP2~withdrawn	FAM108A3, FAM108A11P, FAM108A3P	NA	NA	NA
ABHD17AP3	FAM108A4, FAM108A4P	NA	648359	ENSG00000250536
ABHD17AP4	FAM108A5, FAM108A5P	NA	729495	ENSG00000229107
ABHD17AP5	FAM108A6, FAM108A6P	NA	91219	ENSG00000263366
ABHD17AP6	FAM108A7P	NA	644988	ENSG00000226981
ABHD17AP7	FAM108A8P	NA	100133212	ENSG00000260864
ABHD17AP8	FAM108A9P	NA	647144	ENSG00000260540
ABHD17AP9	FAM108A10P	NA	100132251	ENSG00000261536
ABHD17B	C9orf77, FAM108B1	CGI-67	51104	ENSG00000107362
ABHD17C	FAM108C1	NA	58489	ENSG00000136379
ABHD18	C4orf29	FLJ21106	80167	ENSG00000164074
ABI1	SSH3BP1	E3B1, ABI-1	10006	ENSG00000136754
ABI1P1	SSH3BP1P, ABI1P	NA	326268	ENSG00000271484
ABI2	NA	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	ENSG00000138443
ABI3	NA	NESH, SSH3BP3	51225	ENSG00000108798
ABI3BP	NA	NESHBP, DKFZP586L2024, TARSH	25890	ENSG00000154175
ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	54942	ENSG00000119328
ABITRAMP1	FAM206BP	NA	390403	ENSG00000251106
ABL1	ABL	JTK7, c-ABL, p150	25	ENSG00000097007
ABL2	ABLL	ARG	27	ENSG00000143322
ABLIM1	LIMAB1, ABLIM	abLIM, limatin	3983	ENSG00000099204
ABLIM2	NA	KIAA1808	84448	ENSG00000163995
ABLIM3	NA	KIAA0843	22885	ENSG00000173210
ABO	NA	A3GALNT, A3GALT1	28	ENSG00000175164
ABR	NA	MDB	29	ENSG00000159842
ABRA	NA	STARS	137735	ENSG00000174429
ABRACL	C6orf115	PRO2013, HSPC280, Costars	58527	ENSG00000146386
ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	84142	ENSG00000163322
ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	23172	ENSG00000165660
ABT1	NA	Esf2	29777	ENSG00000146109
ABT1P1	NA	NA	100420695	ENSG00000250496
ABTB1	NA	BPOZ, EF1ABP, Btb3, BTBD21	80325	ENSG00000114626
ABTB2	NA	DKFZP586C1619, BTBD22, ABTB2A	25841	ENSG00000166016
ACAA1	NA	NA	30	ENSG00000060971
ACAA2	NA	DSAEC	10449	ENSG00000167315
ACACA	ACAC, ACC	ACC1	31	ENSG00000278540
ACACB	NA	HACC275, ACC2, ACCB	32	ENSG00000076555
ACAD	NA	NA	NA	NA
ACAD8	NA	NA	27034	ENSG00000151498
ACAD9	NA	NPD002, MGC14452	28976	ENSG00000177646
ACAD10	NA	MGC5601	80724	ENSG00000111271
ACAD11	NA	FLJ12592	84129	ENSG00000240303
ACADL	NA	LCAD, ACAD4	33	ENSG00000115361
ACADM	NA	MCAD, MCADH, ACAD1	34	ENSG00000117054
ACADS	NA	SCAD, ACAD3	35	ENSG00000122971
ACADSB	NA	SBCAD, ACAD7	36	ENSG00000196177
ACADVL	NA	VLCAD, LCACD, ACAD6	37	ENSG00000072778
ACAN	MSK16, CSPG1, AGC1	CSPGCP	176	ENSG00000157766
ACAP1	CENTB1	KIAA0050	9744	ENSG00000072818
ACAP2	CENTB2	KIAA0041, CNT-B2	23527	ENSG00000114331
ACAP2-IT1	NA	NA	NA	ENSG00000229325
ACAP3	CENTB5	KIAA1716	116983	ENSG00000131584
ACAT1	ACAT	THIL	38	ENSG00000075239
ACAT2	NA	NA	39	ENSG00000120437
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	64746	ENSG00000182827
ACBD3-AS1	NA	RP11-275I14.4	107985353	ENSG00000234478
ACBD4	NA	FLJ13322	79777	ENSG00000181513
ACBD5	NA	DKFZp434A2417, KIAA1996	91452	ENSG00000107897
ACBD6	NA	MGC2404	84320	ENSG00000230124
ACBD7	NA	FLJ38219, bA455B2.2	414149	ENSG00000176244
ACBP~withdrawn	NA	NA	NA	NA
ACC~withdrawn	NA	NA	NA	NA
ACCN~withdrawn	NA	NA	NA	NA
ACCPN~withdrawn	NA	NA	NA	NA
ACCS	NA	PHACS, ACS	84680	ENSG00000110455
ACCSL	NA	NA	390110	ENSG00000205126
ACD	NA	Ptop, Pip1, Tpp1, Tint1	65057	ENSG00000102977
ACE	DCP1	ACE1, CD143	1636	ENSG00000159640
ACE2	NA	NA	59272	ENSG00000130234
ACE3P	NA	NA	100129123	ENSG00000224353
ACER1	ASAH3	NA	125981	ENSG00000167769
ACER2	ASAH3L	FLJ41587, ALKCDase2	340485	ENSG00000177076
ACER2P1	NA	NA	645978	ENSG00000180105
ACER3	PHCA	FLJ11238, APHC	55331	ENSG00000078124
ACH~withdrawn	NA	NA	NA	NA
ACHAP~withdrawn	NA	NA	NA	NA
ACHE	YT	NA	43	ENSG00000087085
ACHM1~withdrawn	RMCH	NA	NA	NA
ACHM2~withdrawn	NA	NA	NA	NA
ACHM3~withdrawn	NA	NA	NA	NA
ACHRD~withdrawn	NA	NA	NA	NA
ACHRG~withdrawn	NA	NA	NA	NA
ACIN1	ACINUS	KIAA0670, fSAP152	22985	ENSG00000100813
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	ENSG00000213088
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	ENSG00000144648
ACKR3	CMKOR1, CXCR7	RDC1, GPR159	57007	ENSG00000144476
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	ENSG00000129048
ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4	285737	ENSG00000225415
ACLS	NA	NA	NA	NA
ACLY	NA	ATPCL, CLATP, ACL	47	ENSG00000131473
ACMG	NA	NA	NA	NA
ACMSD	NA	NA	130013	ENSG00000153086
ACNATP	BAATP1	NA	347275	ENSG00000227411
ACO1	IREB1	IRP1, IREBP	48	ENSG00000122729
ACO2	NA	ACONM	50	ENSG00000100412
ACOD1	IRG1	CAD	730249	ENSG00000102794
ACOT1	NA	ACH2, CTE-1, LACH2	641371	ENSG00000184227
ACOT2	NA	Mte1, ZAP128	10965	ENSG00000119673
ACOT4	NA	FLJ31235, PTE-Ib, PTE2B	122970	ENSG00000177465
ACOT6	C14orf42	NA	641372	ENSG00000205669
ACOT7	NA	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	ENSG00000097021
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	ENSG00000101473
ACOT9	NA	CGI-16, MT-ACT48, ACATE2	23597	ENSG00000123130
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	ENSG00000162390
ACOT12	NA	Cach, THEAL, STARD15	134526	ENSG00000172497
ACOT13	THEM2	HT012	55856	ENSG00000112304
ACOX1	NA	PALMCOX	51	ENSG00000161533
ACOX2	NA	BRCACOX, BRCOX, THCCox	8309	ENSG00000168306
ACOX3	NA	NA	8310	ENSG00000087008
ACOXL	NA	FLJ11042	55289	ENSG00000153093
ACOXL-AS1	NA	NA	400997	ENSG00000204581
ACP1	NA	HAAP, LMW-PTP, LMWPTP	52	ENSG00000143727
ACP2	NA	LAP	53	ENSG00000134575
ACP3	ACPP	ACP-3, PAP, TM-PAP	55	ENSG00000014257
ACP4	ACPT	NA	93650	ENSG00000142513
ACP5	NA	TRAP, HPAP	54	ENSG00000102575
ACP6	NA	LPAP, ACPL1	51205	ENSG00000162836
ACP7	NA	FLJ16165, PAPL1, PAPL	390928	ENSG00000183760
ACR	NA	NA	49	ENSG00000100312
ACRBP	NA	SP32, OY-TES-1, CT23	84519	ENSG00000111644
ACRP1	NA	NA	645529	ENSG00000175509
ACRV1	NA	SPACA2, SP-10, D11S4365	56	ENSG00000134940
ACS3~withdrawn	NA	NA	NA	NA
ACSBG1	NA	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	ENSG00000103740
ACSBG2	NA	BGR, PRTD-NY3, DKFZp434K1635	81616	ENSG00000130377
ACSF2	NA	FLJ20920, ACSMW	80221	ENSG00000167107
ACSF3	NA	NA	197322	ENSG00000176715
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	ENSG00000151726
ACSL3	FACL3	ACS3, PRO2194	2181	ENSG00000123983
ACSL3-AS1	NA	NA	105373904	ENSG00000234193
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	ENSG00000068366
ACSL5	FACL5	ACS5, ACS2	51703	ENSG00000197142
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	ENSG00000164398
ACSL6-AS1	NA	NA	101927693	ENSG00000223548
ACSM1	BUCS1	MACS1	116285	ENSG00000166743
ACSM2A	ACSM2	A-923A4.1, MGC150530	123876	ENSG00000183747
ACSM2B	ACSM2	HXMA, HYST1046	348158	ENSG00000066813
ACSM3	SAH	SA	6296	ENSG00000005187
ACSM4	NA	NA	341392	ENSG00000215009
ACSM5	NA	FLJ20581	54988	ENSG00000183549
ACSM5P1	NA	NA	100421779	ENSG00000260762
ACSM6	C10orf129	bA310E22.3	142827	ENSG00000173124
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	ENSG00000154930
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	ENSG00000131069
ACSS3	NA	FLJ21963	79611	ENSG00000111058
ACTA1	ACTA	NEM3	58	ENSG00000143632
ACTA2	NA	ACTSA	59	ENSG00000107796
ACTA2-AS1	NA	uc001kfo.1, ZXF1, UC001kfo	100132116	ENSG00000180139
ACTA3~withdrawn	NA	NA	NA	NA
ACTB	NA	NA	60	ENSG00000075624
ACTBL2	NA	DKFZp686D0972	345651	ENSG00000169067
ACTBP1	NA	NA	643309	ENSG00000229145
ACTBP2	NA	NA	62	ENSG00000213763
ACTBP3	NA	NA	63	NA
ACTBP4	NA	NA	64	ENSG00000286676
ACTBP5	NA	NA	NA	NA
ACTBP6	NA	NA	66	ENSG00000203413
ACTBP7	NA	NA	67	ENSG00000185607
ACTBP8	NA	ACTBP2	68	ENSG00000220267
ACTBP9	NA	NA	69	ENSG00000266920
ACTBP10	NA	NA	446207	NA
ACTBP11	NA	NA	644220	ENSG00000188460
ACTBP12	ACTGP5	NA	100462767	ENSG00000233125
ACTBP13	NA	NA	389120	ENSG00000234667
ACTBP14	NA	NA	389976	ENSG00000229001
ACTC1	ACTC	CMD1R	70	ENSG00000159251
ACTE1P	NA	NA	399923	ENSG00000172900
ACTG1	ACTG, DFNA20, DFNA26	NA	71	ENSG00000184009
ACTG1P1	ACTGP1, ACT1GP1	NA	73	ENSG00000178631
ACTG1P2	ACTL2, ACTGP2	NA	74	ENSG00000229129
ACTG1P3	ACTGP3	NA	75	ENSG00000215388
ACTG1P4	ACTGP4	NA	648740	ENSG00000236085
ACTG1P6	ACTGP6	NA	78	NA
ACTG1P7	ACTGP7	NA	79	NA
ACTG1P8	ACTGP8	NA	80	NA
ACTG1P9	ACTGP9	NA	82	ENSG00000229349
ACTG1P10	ACTL1, ACTGP10	NA	83	ENSG00000231340
ACTG1P11	NA	NA	414754	ENSG00000229465
ACTG1P12	NA	NA	100418921	ENSG00000226642
ACTG1P13	NA	NA	100418920	ENSG00000241305
ACTG1P14	NA	NA	100418910	ENSG00000230581
ACTG1P15	NA	NA	100418951	ENSG00000259904
ACTG1P16	NA	NA	100418960	ENSG00000260298
ACTG1P17	NA	NA	283693	ENSG00000259315
ACTG1P18	NA	NA	100418924	ENSG00000218475
ACTG1P19	NA	NA	644160	ENSG00000237999
ACTG1P20	NA	NA	644961	ENSG00000241547
ACTG1P21	NA	NA	100131291	ENSG00000232672
ACTG1P22	NA	NA	100131953	ENSG00000271615
ACTG1P23	NA	NA	442097	ENSG00000230362
ACTG1P24	POTENP	NA	441783	ENSG00000226359
ACTG1P25	NA	AGPG	148709	ENSG00000234996
ACTG2	ACTL3, ACTA3	ACTSG	72	ENSG00000163017
ACTL2~withdrawn	NA	NA	NA	NA
ACTL3~withdrawn	NA	NA	NA	NA
ACTL4	NA	NA	NA	NA
ACTL5	NA	ACTFIB	NA	NA
ACTL6A	NA	Actl6, BAF53A, Arp4, Baf53a, INO80K	86	ENSG00000136518
ACTL6B	ACTL6	BAF53B	51412	ENSG00000077080
ACTL7A	NA	NA	10881	ENSG00000187003
ACTL7B	NA	Tact1	10880	ENSG00000148156
ACTL8	NA	CT57	81569	ENSG00000117148
ACTL9	NA	MGC33407	284382	ENSG00000181786
ACTL10	C20orf134	NA	170487	ENSG00000182584
ACTN1	NA	NA	87	ENSG00000072110
ACTN1-AS1	C14orf84	NA	161159	ENSG00000259062
ACTN2	NA	NA	88	ENSG00000077522
ACTN3	NA	NA	89	ENSG00000248746
ACTN4	FSGS1	NA	81	ENSG00000130402
ACTN4P1	NA	NA	344978	ENSG00000213493
ACTN4P2	NA	NA	391026	ENSG00000214141
ACTP1	NA	NA	106480335	ENSG00000229890
ACTR1A	NA	ARP1, Arp1A	10121	ENSG00000138107
ACTR1AP1	NA	NA	100287074	ENSG00000233370
ACTR1B	CTRN2	Arp1B	10120	ENSG00000115073
ACTR2	NA	ARP2	10097	ENSG00000138071
ACTR3	NA	ARP3	10096	ENSG00000115091
ACTR3-AS1	NA	AC104653.1	101060091	NA
ACTR3B	NA	ARP11, ARP3beta	57180	ENSG00000133627
ACTR3BP1	NA	NA	643050	ENSG00000270242
ACTR3BP2	NA	FKSG73	440888	ENSG00000226481
ACTR3BP3	NA	NA	647156	ENSG00000260327
ACTR3BP4	NA	NA	777774	ENSG00000249283
ACTR3BP5	NA	NA	399746	ENSG00000227264
ACTR3BP6	NA	NA	644773	ENSG00000280263
ACTR3BP7	NA	NA	100289004	ENSG00000226444
ACTR3C	NA	ARP11	653857	ENSG00000106526
ACTR3P1	NA	NA	100288580	NA
ACTR3P2	NA	NA	100129013	ENSG00000232267
ACTR3P3	NA	NA	100128020	ENSG00000242573
ACTR5	NA	FLJ12785, Arp5, INO80M	79913	ENSG00000101442
ACTR6	NA	ARP6, FLJ13433	64431	ENSG00000075089
ACTR6P1	NA	NA	100421495	ENSG00000248915
ACTR8	NA	INO80N, ARP8	93973	ENSG00000113812
ACTR10	NA	HARP11, ACTR11, Arp11, Arp10	55860	ENSG00000131966
ACTRT1	NA	AIP1, KIAA0705, ARIP1, Arp-T1	139741	ENSG00000123165
ACTRT2	NA	Arp-T2, ARPM2, FLJ25424	140625	ENSG00000169717
ACTRT3	NA	ARPM1	84517	ENSG00000184378
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	90	ENSG00000115170
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	91	ENSG00000135503
ACVR1C	NA	ALK7, ACVRLK7	130399	ENSG00000123612
ACVR2A	ACVR2	ACTRII	92	ENSG00000121989
ACVR2B	NA	ActR-IIB	93	ENSG00000114739
ACVR2B-AS1	NA	NA	100128640	ENSG00000229589
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT	94	ENSG00000139567
ACVRLK2~withdrawn	NA	NA	NA	NA
ACY1	NA	NA	95	ENSG00000243989
ACY1L~withdrawn	ACY1L	AN	NA	NA
ACY3	NA	HCBP1, MGC9740, ACY-3	91703	ENSG00000132744
ACYP1	NA	NA	97	ENSG00000119640
ACYP2	NA	NA	98	ENSG00000170634
AD1~withdrawn	NA	NA	NA	NA
AD2~withdrawn	AD2	NA	NA	NA
AD3~withdrawn	NA	NA	NA	NA
AD4~withdrawn	NA	NA	NA	NA
AD5	NA	NA	NA	NA
ADA	NA	NA	100	ENSG00000196839
ADA2	IDGFL, CECR1	ADGF	51816	ENSG00000093072
ADAD1	NA	Tenr	132612	ENSG00000164113
ADAD1P1	NA	NA	100422386	NA
ADAD1P2	NA	NA	100422407	ENSG00000267511
ADAD2	NA	TENRL, FLJ00337	161931	ENSG00000140955
ADAL	NA	NA	161823	ENSG00000168803
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	8759	ENSG00000229186
ADAM1B	NA	NA	100420505	ENSG00000226469
ADAM2	FTNB	PH-30b, PH30, CT15	2515	ENSG00000104755
ADAM3A	CYRN1	ADAM3, tMDCI	1587	ENSG00000197475
ADAM3B	CYRN2	NA	1596	ENSG00000260089
ADAM5	ADAM5P	tMDCII	255926	ENSG00000196115
ADAM6	C14orf96	tMDCIV	8755	ENSG00000271968
ADAM7	NA	GP-83, EAPI	8756	ENSG00000069206
ADAM8	NA	CD156, MS2, CD156A	101	ENSG00000151651
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng	8754	ENSG00000168615
ADAM10	NA	kuz, MADM, HsT18717, CD156C	102	ENSG00000137845
ADAM11	MDC	NA	4185	ENSG00000073670
ADAM12	NA	MCMPMltna, MLTN	8038	ENSG00000148848
ADAM12-OT1	NA	CAR10, FLJ31066	NA	NA
ADAM15	NA	MDC15	8751	ENSG00000143537
ADAM17	TACE	cSVP, CD156B	6868	ENSG00000151694
ADAM18	NA	tMDCIII, ADAM27	8749	ENSG00000168619
ADAM19	NA	MLTNB	8728	ENSG00000135074
ADAM20	NA	NA	8748	ENSG00000134007
ADAM20P1	C14orf55	NA	317760	ENSG00000259158
ADAM20P2	NA	NA	100533671	ENSG00000248574
ADAM20P3	NA	NA	644325	ENSG00000249162
ADAM21	NA	ADAM31	8747	ENSG00000139985
ADAM21P1	ADAM21P	NA	145241	ENSG00000235812
ADAM22	NA	MDC2	53616	ENSG00000008277
ADAM23	NA	MDC3	8745	ENSG00000114948
ADAM24P	NA	NA	646479	ENSG00000214607
ADAM28	NA	eMDCII, MDC-Lm, MDC-Ls, ADAM23	10863	ENSG00000042980
ADAM29	NA	svph1, CT73	11086	ENSG00000168594
ADAM30	NA	svph4	11085	ENSG00000134249
ADAM32	NA	NA	203102	ENSG00000197140
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	80332	ENSG00000149451
