#chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type
11	NC_000011.9	ATM	472	CCDS31669.1	Public	+	108098351	108236234	[108098351-108098422, 108098502-108098614, 108099904-108100049, 108106396-108106560, 108114679-108114844, 108115514-108115752, 108117690-108117853, 108119659-108119828, 108121427-108121798, 108122563-108122757, 108123543-108123638, 108124540-108124765, 108126941-108127066, 108128207-108128332, 108129712-108129801, 108137897-108138068, 108139136-108139335, 108141790-108141872, 108141977-108142132, 108143258-108143333, 108143448-108143578, 108150217-108150334, 108151721-108151894, 108153436-108153605, 108154953-108155199, 108158326-108158441, 108159703-108159829, 108160328-108160527, 108163345-108163519, 108164039-108164203, 108165653-108165785, 108168013-108168108, 108170440-108170611, 108172374-108172515, 108173579-108173755, 108175401-108175578, 108178623-108178710, 108180886-108181041, 108183137-108183224, 108186549-108186637, 108186737-108186839, 108188099-108188247, 108190680-108190784, 108192027-108192146, 108196036-108196270, 108196784-108196951, 108198371-108198484, 108199747-108199964, 108200940-108201147, 108202170-108202283, 108202605-108202763, 108203488-108203626, 108204612-108204694, 108205695-108205835, 108206571-108206687, 108213948-108214097, 108216469-108216634, 108218005-108218091, 108224492-108224606, 108225537-108225600, 108235808-108235944, 108236051-108236234]	Identical
11	NC_000011.9	NPAT	4863	CCDS41710.1	Public	-	108029668	108093262	[108029668-108029745, 108031606-108032740, 108032846-108032906, 108040470-108040578, 108040654-108040769, 108042925-108044577, 108046972-108047100, 108047720-108047816, 108055958-108056045, 108056129-108056220, 108057208-108057295, 108058824-108058905, 108059832-108060056, 108061186-108061226, 108062844-108062916, 108064683-108064743, 108068028-108068146, 108093226-108093262]	Identical
11	NC_000011.9	KDELC2	143888	CCDS41711.1	Public	-	108345553	108369092	[108345553-108345678, 108348333-108348437, 108350027-108350221, 108351906-108352102, 108352732-108352948, 108356883-108357166, 108361696-108361893, 108368891-108369092]	Identical
12	NC_000012.11	CBX5	23468	CCDS8875.1	Public	-	54635538	54651433	[54635538-54635688, 54639898-54639998, 54645824-54646010, 54651297-54651433]	Identical
13	NC_000013.10	HTR2A	3356	CCDS9405.1	Public	-	47408971	47470040	[47408971-47409773, 47466524-47466724, 47469629-47470040]	Identical
14	NC_000014.8	NKX2-8	26257	CCDS9660.1	Public	-	37050106	37051593	[37050106-37050668, 37051437-37051593]	Identical
15	NC_000015.9	BMF	90427	CCDS45223.1	Public	-	40383987	40398286	[40383987-40384088, 40396443-40396540, 40397995-40398286]	Identical
16	NC_000016.9	UBALD1	124402	CCDS10518.1	Public	-	4659633	4664797	[4659633-4659983, 4660493-4660555, 4664678-4664797]	Identical
17	NC_000017.10	SKA2	348235	CCDS45747.1	Public	-	57189637	57232523	[57189637-57189705, 57196679-57196855, 57208641-57208727, 57232491-57232523]	Identical
18	NC_000018.9	HRH4	59340	CCDS45841.1	Public	+	22040692	22057525	[22040692-22040884, 22056810-22057525]	Identical
19	NC_000019.9	B3GNT3	10331	CCDS12364.1	Public	+	17918616	17922930	[17918616-17919182, 17922379-17922930]	Identical
20	NC_000020.10	SLC32A1	140679	CCDS13307.1	Public	+	37353367	37357281	[37353367-37353756, 37356094-37357281]	Identical
21	NC_000021.8	CBR3	874	CCDS13642.1	Public	+	37507490	37518809	[37507490-37507778, 37510122-37510229, 37518373-37518809]	Identical
22	NC_000022.10	PHF5A	84844	CCDS14016.1	Public	-	41856401	41864656	[41856401-41856490, 41863451-41863617, 41864127-41864150, 41864605-41864656]	Identical
X	NC_000023.10	ARMCX1	51309	CCDS14487.1	Public	+	100807913	100809274	[100807913-100809274]	Identical
Y	NC_000024.9	SRY	6736	CCDS14772.1	Public	-	2655029	2655643	[2655029-2655643]	Identical

